Order ID,Date,Region,Store ID,Product ID,Category,Revenue,Profit,Discount,Customer ID,Age,Gender,Income,Purchase Frequency,Stock Levels,Shipping Time (days),Delivery Status,Payment Method
16179,05-11-2024 02:00,West,714,6165,Home Appliances,3085,1998,29,91714,36,Male,76949,1,72,12,In Transit,Credit Card
7898,26-11-2023 01:00,South,856,9913,Home Appliances,166.5,1887,12,60964,47,Male,28015,4,125,9,Delivered,Wallet
12318,28-05-2024 05:00,West,685,3161,Furniture,4423,1527,36,23589,63,Male,78452,28,205,10,Delivered,Debit Card
17206,17-12-2024 21:00,South,746,7710,Groceries,2018,1842,31,94821,22,Female,38707,29,102,1,In Transit,Credit Card
11865,09-05-2024 08:00,North,528,5160,Toys,184,149,23,85560,67,Female,100584,16,497,5,Cancelled,Credit Card
7504,09-11-2023 15:00,West,398,2696,Home Appliances,316,1178,25,75820,50,Female,108677,5,319,5,In Transit,Credit Card
6625,04-10-2023 00:00,East,643,6801,Groceries,4700,984,30,48235,42,Female,106912,5,71,13,In Transit,Debit Card
11554,26-04-2024 09:00,South,156,4324,Furniture,2362,-295,5,69957,64,Male,118799,23,392,12,Cancelled,Cash
6802,11-10-2023 09:00,South,408,4420,Electronics,2713,1034,23,45313,40,Other,191244,27,476,13,Delivered,UPI
16043,30-10-2024 10:00,East,177,4207,Home Appliances,486,739,3,28804,18,Other,151163,20,133,2,Cancelled,Debit Card
11100,07-04-2024 11:00,East,952,5427,Electronics,4931,589,6,30066,27,Male,20592,9,235,13,Cancelled,Credit Card
6932,16-10-2023 19:00,South,386,4558,Furniture,3885,-126,10,55574,50,Male,49996,28,30,14,Delivered,Wallet
17381,25-12-2024 04:00,West,469,4792,Books,873,156,40,98293,64,Female,190570,24,191,7,In Transit,Debit Card
103,05-01-2023 06:00,South,409,2700,Toys,105.3,-468,44,53574,32,Male,158784,25,151,11,In Transit,Wallet
19113,07-03-2025 08:00,South,343,8287,Books,1619,120,43,85840,63,Female,87043,11,363,13,Delayed,Debit Card
18348,03-02-2025 11:00,North,603,5031,Home Appliances,2891.7,49,41,31715,28,Female,103767,21,359,12,Delivered,UPI
14348,20-08-2024 19:00,South,578,4703,Groceries,2212,1116,28,48887,58,Male,42861,11,487,8,Cancelled,Cash
15182,24-09-2024 13:00,North,233,3209,Toys,4355,279,31,35787,37,Female,182246,19,88,10,Delayed,Debit Card
16786,30-11-2024 09:00,East,776,7161,Home Appliances,2218,1388,14,72095,59,Other,197131,13,152,2,Delayed,Debit Card
6458,27-09-2023 01:00,East,475,2932,Books,265,362,0,43266,65,Female,77794,29,330,12,In Transit,Wallet
18549,11-02-2025 20:00,North,457,9470,Apparel,2145,1403,17,59574,23,Male,137477,12,104,6,Delayed,Debit Card
291,13-01-2023 02:00,North,994,2195,Furniture,276,-12,18,75598,43,Male,34194,27,440,13,Delayed,UPI
9894,17-02-2024 05:00,South,122,4654,Groceries,4582,1143,10,25622,27,Other,189664,28,166,7,Delivered,Credit Card
10767,24-03-2024 14:00,East,375,8071,Electronics,2559,-159,11,37865,43,Female,47117,17,460,2,In Transit,UPI
12372,30-05-2024 11:00,West,720,2192,Groceries,2075,-65,38,55948,32,Male,76787,26,129,7,In Transit,Credit Card
4796,19-07-2023 19:00,South,785,9886,Home Appliances,4772,-66,10,59258,23,Female,111910,10,216,9,Delivered,Wallet
4149,22-06-2023 20:00,South,811,6647,Electronics,4010,1239,18,43607,65,Male,167977,3,347,8,Delayed,UPI
10303,05-03-2024 06:00,South,360,4042,Apparel,844,1950,49,62026,33,Female,26587,11,136,4,In Transit,Wallet
4369,02-07-2023 00:00,South,823,5602,Home Appliances,1269,1898,19,10374,52,Male,170303,2,228,7,Delayed,Cash
18457,08-02-2025 00:00,West,156,8549,Groceries,2494,1702,44,53594,63,Female,77255,7,214,9,Delivered,Credit Card
15222,26-09-2024 05:00,North,967,6516,Books,3429,770,43,99697,50,Male,20181,21,123,9,Delayed,Credit Card
14441,24-08-2024 16:00,North,496,1946,Apparel,3246,712,9,26428,69,Female,54582,25,89,5,Delivered,Cash
10847,27-03-2024 22:00,South,797,2888,Furniture,1481,1303,26,97155,20,Female,32344,11,366,7,In Transit,Credit Card
19526,24-03-2025 13:00,East,344,6955,Home Appliances,1776.5,-461,38,10628,66,Female,122342,18,237,7,Delivered,UPI
19567,26-03-2025 06:00,North,830,4078,Groceries,3129,1752,32,31714,56,Female,131662,22,139,6,Delayed,Debit Card
14985,16-09-2024 08:00,North,470,7351,Home Appliances,2742,883,26,16993,60,Male,126233,10,498,9,Delayed,Cash
760,01-02-2023 15:00,East,970,8331,Apparel,800.1,1099,26,98075,36,Female,130620,6,325,2,In Transit,Credit Card
19749,02-04-2025 20:00,South,882,4630,Home Appliances,2376,-268,8,93171,46,Male,68831,28,385,10,Cancelled,Wallet
10363,07-03-2024 18:00,West,355,9525,Electronics,824,1909,20,36099,31,Male,146183,4,156,7,Delivered,Debit Card
17801,11-01-2025 16:00,North,131,6863,Electronics,445,996,33,12226,57,Female,67716,29,218,4,Cancelled,Debit Card
15045,18-09-2024 20:00,East,422,1174,Electronics,1397,1895,11,51419,18,Male,30467,14,263,11,Cancelled,UPI
6149,14-09-2023 04:00,West,821,3748,Books,4222,866,9,54290,62,Female,136652,11,346,11,Delivered,Wallet
12303,27-05-2024 14:00,West,429,4463,Electronics,958,-295,29,85278,36,Male,190489,5,71,3,Delivered,Cash
3538,28-05-2023 09:00,North,688,9401,Books,342,1439,41,26697,58,Female,52624,10,339,11,In Transit,Debit Card
18297,01-02-2025 08:00,North,547,5015,Books,818,1136,30,93540,65,Female,60797,29,297,4,Delayed,Debit Card
15048,18-09-2024 23:00,South,363,8707,Furniture,4481,247,25,73475,51,Female,133514,14,480,12,Delivered,Cash
16818,01-12-2024 17:00,West,925,7458,Apparel,1263,1902,22,16015,33,Male,163009,15,35,5,Delayed,Cash
1104,15-02-2023 23:00,North,823,8461,Furniture,3418,1938,22,62505,33,Male,118484,9,458,6,Delayed,Debit Card
6032,09-09-2023 07:00,North,297,5263,Home Appliances,1068,1533,39,22946,26,Male,58260,15,252,7,Delayed,Wallet
5515,18-08-2023 18:00,East,834,5612,Toys,421,-487,40,27855,38,Female,57919,17,325,3,Delivered,UPI
11597,28-04-2024 04:00,North,249,5570,Books,1679,911,25,98622,58,Female,35253,28,463,5,Delayed,Cash
2884,01-05-2023 03:00,East,563,5636,Electronics,4722.3,1898,32,66071,53,Male,163117,21,426,1,Cancelled,Debit Card
13257,06-07-2024 08:00,South,165,6015,Electronics,1008,197,25,95553,41,Female,39964,15,368,13,Cancelled,Debit Card
1536,05-03-2023 23:00,South,309,4496,Furniture,1205,714,28,89344,42,Female,58500,3,186,11,Cancelled,Cash
3821,09-06-2023 04:00,East,598,8881,Apparel,1945,1299,39,78910,47,Female,76202,8,12,2,Delivered,Credit Card
17106,13-12-2024 17:00,North,738,8188,Groceries,1798,1550,38,10970,59,Female,42003,12,247,2,Delivered,Wallet
9504,31-01-2024 23:00,East,358,7312,Toys,4684,23,1,21494,57,Female,103407,3,450,5,Cancelled,Credit Card
15540,09-10-2024 11:00,East,885,9634,Electronics,2847,1504,29,91594,52,Female,24471,8,156,6,Delayed,Cash
13475,15-07-2024 10:00,South,797,1478,Home Appliances,3990,1571,0,34953,34,Male,98602,23,336,9,Delayed,Wallet
9264,21-01-2024 23:00,West,297,8597,Home Appliances,4876,1136,47,26641,48,Male,165489,9,71,5,Cancelled,Credit Card
8276,11-12-2023 19:00,North,640,3340,Electronics,182,1152,7,26264,999,Male,177958,26,215,13,Delayed,Credit Card
8964,09-01-2024 11:00,East,384,4367,Toys,212,476,29,56892,21,Male,97211,3,447,8,In Transit,UPI
17755,09-01-2025 18:00,South,289,5262,Home Appliances,2258,386,39,96089,32,Female,191874,16,492,10,Delayed,Wallet
4691,15-07-2023 10:00,East,889,9602,Apparel,4655,544,7,26716,62,Female,135722,3,206,6,Cancelled,Wallet
1465,03-03-2023 00:00,East,551,7153,Toys,1553,110,36,46237,27,Female,91384,17,293,9,Delayed,Credit Card
15329,30-09-2024 16:00,North,569,7032,Home Appliances,4528,204,22,68229,38,nan,63905,27,244,11,In Transit,Wallet
10815,26-03-2024 14:00,North,103,3075,Furniture,666.9,93,13,25247,36,Male,51497,8,180,5,Delivered,Cash
2042,27-03-2023 01:00,East,306,7343,Electronics,327,-41,37,86110,64,Male,198644,4,387,2,Delayed,Cash
19722,01-04-2025 17:00,North,324,5611,Groceries,3632,779,11,33926,53,Male,151509,13,286,9,Delivered,UPI
12357,29-05-2024 20:00,North,939,8402,Toys,1327,1326,3,47923,50,Female,116167,29,160,11,In Transit,Cash
17844,13-01-2025 11:00,East,727,7502,Toys,2008,118,39,86147,51,Male,130676,8,411,2,Delayed,Debit Card
14786,08-09-2024 01:00,South,399,7155,Apparel,4486,-152,28,68119,31,Male,90113,24,340,8,Delayed,Credit Card
11490,23-04-2024 17:00,South,778,8158,Apparel,1926,111,33,11335,64,Male,107303,4,420,8,Delayed,Cash
3272,17-05-2023 07:00,East,112,4097,Home Appliances,1165,898,43,44648,32,nan,134331,19,419,6,In Transit,UPI
7733,19-11-2023 04:00,North,640,6224,Toys,4826,-75,47,27144,53,Female,171901,6,427,7,Delivered,Credit Card
